HDDSN,ENDDATE,STARTDATE,PROCID,MTYPE,MFGID,PFCODE,PFSUBCODE,HSATRIAL,HDDTRIAL,PARTID,PARTFLAG,ASMLINE,ASMTEAM,TESTERID,CELLID,TESTPGMVER,FAILEDHEAD,HDDCYCLE,RWKDISP,RWKDEPTH_MAX,RWKDEPTH_CUR,HSASN,DISKSETID,HDEPARTSETID,HDDPARTSETID,STORETS,DayDifference,TestTime
KZGNTX1E    ,2013-11-07 19:01:24,2013-11-07 08:17:36,9000,CEP8,CP1843    ,0000,00000000,U517,B5QX,1030104040J1J1    10,   0  0,58,33,0646,000010,FET8.1DL,00000000,2,  ,2,2,A31NQTP0    ,2,2,1,2013-11-07 19:39:09,0,10.730
KZGNTH7E    ,2013-11-07 19:02:39,2013-11-07 08:17:52,9000,CEP8,CP1843    ,0000,00000000,U517,B5QX,1030104040J1J1    10,   0  0,58,33,0646,000025,FET8.1DL,00000000,2,  ,2,2,A31NRVZW    ,2,2,1,2013-11-07 19:39:09,0,10.746
KZGNTDUE    ,2013-11-07 19:02:38,2013-11-07 08:17:58,9000,CEP8,CP1843    ,0000,00000000,U517,B5QX,1030104040J1J1    10,   0  0,58,33,0646,000031,FET8.1DL,00000000,2,  ,2,2,A31NRV9Q    ,2,2,1,2013-11-07 19:39:09,0,10.744
KZGNTAKE    ,2013-11-07 17:11:42,2013-11-07 06:22:04,9000,CEP8,CP1843    ,0000,00000000,U517,B5QX,1030104040J1J1    10,   0  0,58,33,0640,000031,FET8.1DL,00000000,2,  ,2,2,A31NS0FJ    ,2,2,1,2013-11-07 17:39:07,0,10.827
KZGNT60E    ,2013-11-07 17:11:15,2013-11-07 06:21:59,9000,CEP8,CP1843    ,0000,00000000,U517,B5QX,1030104040J1J1    10,   0  0,58,33,0640,000026,FET8.1DL,00000000,2,  ,2,2,A31NREPL    ,2,2,1,2013-11-07 17:39:07,0,10.821
KZGNRHLE    ,2013-11-08 07:04:47,2013-11-07 20:06:21,9000,CEP8,CP1843    ,0000,00000000,U517,B5QX,1030104040J1J1    10,   0  0,58,05,0642,000025,FET8.1DL,00000000,2,  ,2,2,A31P37ND    ,2,2,1,2013-11-08 07:44:38,1,10.974
KZGNRE3E    ,2013-11-08 04:49:01,2013-11-07 18:12:54,9000,CEP8,CP1843    ,0000,00000000,U517,B5QX,1030104040J1J1    10,   0  0,58,05,0640,000029,FET8.1DL,00000000,2,  ,2,2,A31NQXYT    ,2,2,1,2013-11-08 05:30:09,1,10.602
KZGNRDYE    ,2013-11-07 17:10:37,2013-11-07 06:22:27,9000,CEP8,CP1843    ,0000,00000000,U517,B5QX,1030104040J1J1    10,   0  0,58,05,0640,000054,FET8.1DL,00000000,2,  ,2,2,A31NRSF0    ,2,2,1,2013-11-07 17:39:09,0,10.803
KZGNR1ME    ,2013-11-07 17:10:37,2013-11-07 06:22:25,9000,CEP8,CP1843    ,0000,00000000,U517,B5QX,1030104040J1J1    10,   0  0,58,33,0640,000052,FET8.1DL,00000000,2,  ,2,2,A31NXX13    ,2,2,1,2013-11-07 17:39:07,0,10.803
KZGNPXJE    ,2013-11-07 17:11:55,2013-11-07 06:22:22,9000,CEP8,CP1843    ,0000,00000000,U517,B5QX,1030104040J1J1    10,   0  0,58,33,0640,000049,FET8.1DL,00000000,2,  ,2,2,A31NWS33    ,2,2,1,2013-11-07 17:39:07,0,10.826
KZGNPU8E    ,2013-11-07 19:00:44,2013-11-07 08:17:44,9000,CEP8,CP1843    ,0000,00000020,U517,B5QX,103010A0A0J1J1    10,   0  0,58,33,0646,000018,FET8.1DL,00000000,2,  ,2,2,A35H3EAQ    ,2,2,1,2013-11-07 19:39:08,0,10.717
KZGNMXKE    ,2013-11-07 17:11:17,2013-11-07 06:21:57,9000,CEP8,CP1843    ,0000,00000000,U517,B5QX,1030104040J1J1    15,   1  4,58,05,0640,000024,FET8.1DL,00000000,2,  ,2,2,A36A7DYP    ,2,2,1,2013-11-07 17:39:08,0,10.822
KZGNLV6E    ,2013-11-07 19:01:55,2013-11-07 08:18:01,9000,CEP8,CP1843    ,0000,00000000,U517,B5QX,1030104040J1J1    10,   0  0,58,33,0646,000034,FET8.1DL,00000000,2,  ,2,2,A371Y26D    ,2,2,1,2013-11-07 19:39:09,0,10.732
KZGNAGYE    ,2013-11-07 18:51:16,2013-11-07 08:13:03,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000003,FET8.1DL,00000000,2,  ,2,2,A35VPV17    ,2,1,1,2013-11-07 19:39:09,0,10.637
KZGNAGTE    ,2013-11-07 18:52:53,2013-11-07 08:13:42,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000042,FET8.1DL,00000000,2,  ,2,2,A35VEJ6T    ,2,1,1,2013-11-07 19:39:10,0,10.653
KZGNAGSE    ,2013-11-08 04:47:44,2013-11-07 18:13:08,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000042,FET8.1DL,00000000,2,  ,2,2,A35VQJV8    ,2,1,1,2013-11-08 05:30:10,1,10.576
KZGNAGNE    ,2013-11-08 04:49:19,2013-11-07 18:13:17,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,103010A0A0J1J1    10,   0  0,51,14,0640,000051,FET8.1DL,00000000,2,  ,2,2,A35VQMBA    ,2,1,1,2013-11-08 05:30:12,1,10.600
KZGNAGKE    ,2013-11-07 17:11:39,2013-11-07 06:21:36,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000003,FET8.1DL,00000000,2,  ,2,2,A35VPV3H    ,2,1,1,2013-11-07 17:39:07,0,10.834
KZGNA5RE    ,2013-11-07 18:51:18,2013-11-07 08:13:12,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000012,FET8.1DL,00000000,2,  ,2,2,A31NYKG9    ,2,1,1,2013-11-07 19:39:08,0,10.635
KZGNA5ME    ,2013-11-07 18:59:29,2013-11-07 08:17:40,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0646,000014,FET8.1DL,00000000,2,  ,2,2,A371Y73Y    ,2,1,1,2013-11-07 19:39:08,0,10.697
KZGNA5LE    ,2013-11-08 07:04:50,2013-11-07 20:06:25,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000029,FET8.1DL,00000000,2,  ,2,2,A35ZTWM3    ,2,1,1,2013-11-08 07:44:38,1,10.973
KZGNA5KE    ,2013-11-08 07:04:21,2013-11-07 20:06:08,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000012,FET8.1DL,00000000,2,  ,2,2,A371Y73E    ,2,1,1,2013-11-08 07:44:38,1,10.970
KZGNA5JE    ,2013-11-08 04:48:29,2013-11-07 18:13:04,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,103010A0A0J1J1    10,   0  0,51,14,0640,000038,FET8.1DL,00000000,2,  ,2,2,A3727AWH    ,2,1,1,2013-11-08 05:30:10,1,10.590
KZGNA5HE    ,2013-11-07 19:02:14,2013-11-07 08:18:04,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,103010A0A0J1J1    10,   0  0,51,14,0646,000036,FET8.1DL,00000000,2,  ,2,2,A35ZTWFF    ,2,1,1,2013-11-07 19:39:09,0,10.736
KZGNA5GE    ,2013-11-08 07:04:46,2013-11-07 20:06:30,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000034,FET8.1DL,00000000,2,  ,2,2,A35VPYX2    ,2,1,1,2013-11-08 07:44:38,1,10.971
KZGNA5AE    ,2013-11-08 07:04:39,2013-11-07 20:06:07,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,103010A0A0J1J1    10,   0  0,51,14,0642,000011,FET8.1DL,00000000,2,  ,2,2,A35VQKTG    ,2,1,1,2013-11-08 07:44:38,1,10.975
KZGNA59E    ,2013-11-08 07:04:17,2013-11-07 20:06:02,9000,CEP8,CP1843    ,0000,00000010,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000006,FET8.1DL,00000000,2,  ,2,2,A37278S3    ,2,1,1,2013-11-08 07:44:38,1,10.971
KZGNA58E    ,2013-10-25 22:41:12,2013-10-25 12:44:54,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0606,000043,FET8.1DL,00000000,1,  ,0,0,A35H1ZK9    ,2,1,1,2013-10-25 23:23:42,0,9.938
KZGNA57E    ,2013-11-08 07:04:49,2013-11-07 20:06:17,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000021,FET8.1DL,00000000,2,  ,2,2,A3727AX5    ,2,1,1,2013-11-08 07:44:38,1,10.975
KZGNA55E    ,2013-11-08 04:49:09,2013-11-07 18:13:12,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000046,FET8.1DL,00000000,2,  ,2,2,A35VQ39C    ,2,1,1,2013-11-08 05:30:10,1,10.599
KZGNA52E    ,2013-11-08 07:04:38,2013-11-07 20:06:00,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000004,FET8.1DL,00000000,2,  ,2,2,A35VPVLT    ,2,1,1,2013-11-08 07:44:38,1,10.977
KZGNA51E    ,2013-11-07 17:09:05,2013-11-07 06:21:52,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000019,FET8.1DL,00000000,2,  ,2,2,A35VPVMH    ,2,1,1,2013-11-07 17:39:06,0,10.787
KZGNA4ZE    ,2013-11-08 07:04:51,2013-11-07 20:06:29,9000,CEP8,CP1843    ,0000,00000020,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000033,FET8.1DL,00000000,2,  ,2,2,A35VPZHF    ,2,1,1,2013-11-08 07:44:38,1,10.972
KZGNA4YE    ,2013-11-08 07:03:03,2013-11-07 20:06:15,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000019,FET8.1DL,00000000,2,  ,2,2,A35VPV2P    ,2,1,1,2013-11-08 07:44:38,1,10.946
KZGNA4TE    ,2013-11-08 04:48:48,2013-11-07 18:12:52,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000027,FET8.1DL,00000000,2,  ,2,2,A35VQMDR    ,2,1,1,2013-11-08 05:30:10,1,10.599
KZGNA4NE    ,2013-11-08 04:48:27,2013-11-07 18:12:38,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000013,FET8.1DL,00000000,2,  ,2,2,A35VPV12    ,2,1,1,2013-11-08 05:30:09,1,10.597
KZGNA4ME    ,2013-11-08 04:48:38,2013-11-07 18:12:36,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000011,FET8.1DL,00000000,2,  ,2,2,A35ZTWEJ    ,2,1,1,2013-11-08 05:30:11,1,10.600
KZGNA7BE    ,2013-11-08 04:49:09,2013-11-07 18:13:01,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000035,FET8.1DL,00000000,2,  ,2,2,A35VPZJB    ,2,1,1,2013-11-08 05:30:12,1,10.602
KZGNA79E    ,2013-11-07 17:11:41,2013-11-07 06:22:17,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000044,FET8.1DL,00000000,2,  ,2,2,A3726A1R    ,2,1,1,2013-11-07 17:39:08,0,10.823
